dev_lat,dev_long,mac
32.883,-117.234,80:7D:3A:A2:9C:08
32.8512,-117.217,3C:71:BF:63:DC:D0
34.1542,-118.045,3C:71:BF:63:EE:0C
32.8741,-117.218,3C:71:BF:6C:A9:7C
32.8561,-117.212,CC:50:E3:A8:EB:3C
37.3969,-121.943,3C:71:BF:6C:62:2C
32.8472,-117.196,3C:71:BF:64:36:C0
32.8711,-117.217,80:7D:3A:E9:67:5C
42.3584,-71.1259,3C:71:BF:63:DF:98
29.327,120.048,3C:71:BF:62:E7:FC
47.6131,-122.205,80:7D:3A:BC:7F:00
32.856,-117.212,CC:50:E3:B0:21:8C
32.9269,-117.195,CC:50:E3:AF:E1:B4
32.869,-117.218,CC:50:E3:B0:92:B4
33.7947,-118.397,3C:71:BF:64:21:DC
28.4595,77.0582,3C:71:BF:63:DF:70
33.6962,-117.79,3C:71:BF:62:E4:30
33.705,-117.738,CC:50:E3:B0:21:A4
32.8697,-117.223,CC:50:E3:A1:45:2C
32.8725,-117.205,CC:50:E3:B0:21:78
32.8657,-117.238,80:7D:3A:BA:E2:14
37.7833,-122.287,CC:50:E3:AF:E4:68
37.4918,-121.925,A4:CF:12:43:71:60
32.8747,-117.216,3C:71:BF:6C:5D:B4
32.8668,-117.248,3C:71:BF:63:81:BC
32.8746,-117.216,A4:CF:12:43:71:4C
37.3877,-122.007,CC:50:E3:AF:E3:80
38.7972,-121.282,A4:CF:12:43:7E:00
33.8647,-118.267,CC:50:E3:AF:E4:E0
37.7423,-122.259,A4:CF:12:43:52:D0
32.8584,-117.233,CC:50:E3:A9:79:3C
37.7124,-122.421,3C:71:BF:63:E6:30
37.3688,-122.036,3C:71:BF:6F:13:B8
NULL,NULL,11.22
32.8707,-117.203,3C:71:BF:6F:69:EC
